anime_id,name,genre,type,episodes,rating,members
32281,Toy Story (1995),"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
5114,Jumanji (1995),"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
28977,Grumpier Old Men (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,Waiting to Exhale (1995),"Sci-Fi, Thriller",TV,24,9.17,673572
9969,Father of the Bride Part II (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
32935,Heat (1995),"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351
11061,Sabrina (1995),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
820,Tom and Huck (1995),"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
15335,Sudden Death (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
15417,GoldenEye (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
4181,"American President, The (1995)","Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749
28851,Dracula: Dead and Loving It (1995),"Drama, School, Shounen",Movie,1,9.05,102733
918,Balto (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376
2904,Nixon (1995),"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
28891,Cutthroat Island (1995),"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
199,Casino (1995),"Adventure, Drama, Supernatural",Movie,1,8.93,466254
23273,Sense and Sensibility (1995),"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
24701,Four Rooms (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894
12355,Ace Ventura: When Nature Calls (1995),"Fantasy, Slice of Life",Movie,1,8.84,226193
1575,Money Train (1995),"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
263,Get Shorty (1995),"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
44,Copycat (1995),"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
1,Assassins (1995),"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
30276,Powder (1995),"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
164,Leaving Las Vegas (1995),"Action, Adventure, Fantasy",Movie,1,8.81,339556
7311,Othello (1995),"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
17074,Now and Then (1995),"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
21939,Persuasion (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351
457,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030
2001,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
245,Dangerous Minds (1995),"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487
32983,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865
5258,Babe (1995),"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995
28957,Dead Man Walking (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266
11665,It Takes Two (1995),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431
431,Clueless (1995),"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
11741,"Cry, the Beloved Country (1995)","Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973
31757,Richard III (1995),"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347
19,Dead Presidents (1995),"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
12365,Restoration (1995),"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620
1535,Mortal Kombat (1995),"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
32366,To Die For (1995),"Comedy, Parody",OVA,2,8.69,16947
30654,How to Make an American Quilt (1995),"Action, Comedy, School, Shounen",TV,25,8.68,176475
20583,Seven (a.k.a. Se7en) (1995),"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
19647,Pocahontas (1995),"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756
4282,When Night Is Falling (1995),"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074
10379,"Usual Suspects, The (1995)","Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
22135,Mighty Aphrodite (1995),"Psychological, Seinen, Sports",TV,11,8.67,97187
21329,Lamerica (1994),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036
31043,"Big Green, The (1995)","Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
7785,Georgia (1995),"Mystery, Psychological, Romance",TV,11,8.65,122531
3297,Home for the Holidays (1995),"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
30709,"Postman, The (Postino, Il) (1994)","Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422
6114,"Indian in the Cupboard, The (1995)","Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
31240,Eye for an Eye (1996),"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
4565,Mr. Holland's Opus (1995),"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
5300,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
9989,Two if by Sea (1996),"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
24415,Bio-Dome (1996),"Comedy, School, Shounen, Sports",TV,25,8.62,184525
11577,Lawnmower Man 2: Beyond Cyberspace (1996),"Sci-Fi, Thriller",Movie,1,8.61,192424
10408,French Twist (Gazon maudit) (1995),"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
28171,Friday (1995),"Ecchi, School, Shounen",TV,24,8.61,348951
32995,From Dusk Till Dawn (1996),"Comedy, Sports",TV,12,8.61,103178
21899,Fair Game (1995),"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
26055,Kicking and Screaming (1995),"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657
7472,"Misérables, Les (1995)","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
777,Bed of Roses (1996),"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
22535,Big Bully (1996),"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
28735,Screamers (1995),"Drama, Historical, Josei",TV,13,8.59,71295
12431,Nico Icon (1995),"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
28805,"Crossing Guard, The (1995)","Adventure, Supernatural",Movie,1,8.58,80825
578,"Juror, The (1996)","Drama, Historical",Movie,1,8.58,174878
16894,"White Balloon, The (Badkonake sefid) (1995)","Comedy, School, Shounen, Sports",TV,25,8.58,243325
5028,Things to Do in Denver When You're Dead (1995),"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
21,Antonia's Line (Antonia) (1995),"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
801,Once Upon a Time... When We Were Colored (1995),"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
31933,Angels and Insects (1995),"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074
5205,White Squall (1996),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658
17389,Dunston Checks In (1996),"Action, Historical, Military, Seinen",TV,39,8.57,31234
170,Black Sheep (1996),"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
10162,Nick of Time (1995),"Josei, Slice of Life",TV,11,8.56,194855
18617,Mary Reilly (1996),"Military, School",Movie,1,8.55,25641
32182,Vampire in Brooklyn (1995),"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
877,Beautiful Girls (1996),"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
2251,Broken Arrow (1996),"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
24687,In the Bleak Midwinter (1995),"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
16498,"Hate (Haine, La) (1995)","Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10030,Heidi Fleiss: Hollywood Madam (1995),"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
5941,City Hall (1996),"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108
30346,Bottle Rocket (1996),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864
3784,Mr. Wrong (1996),"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
13125,Unforgettable (1996),"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,Happy Gilmore (1996),"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
14397,"Bridges of Madison County, The (1995)","Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074
10087,Nobody Loves Me (Keiner liebt mich) (1994),"Action, Fantasy, Supernatural",TV,13,8.51,453630
14719,Muppet Treasure Island (1996),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
9756,Catwalk (1996),"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
10165,Braveheart (1995),"Comedy, School, Slice of Life",TV,26,8.52,254436
13601,Taxi Driver (1976),"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
22789,Rumble in the Bronx (Hont faan kui) (1995),"Comedy, Slice of Life",TV,12,8.5,225927
30230,Before and After (1996),"Comedy, School, Shounen, Sports",TV,51,8.5,38531
18115,Anne Frank Remembered (1995),"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
11981,"Young Poisoner's Handbook, The (1995)","Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11917,If Lucy Fell (1996),"Comedy, Drama, Sports",OVA,2,8.5,13405
205,"Steal Big, Steal Little (1995)","Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
32282,"Boys of St. Vincent, The (1992)","Ecchi, School, Shounen",TV,13,8.5,185015
6594,Boomerang (1992),"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
11979,Chungking Express (Chung Hing sam lam) (1994),"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
7655,Flirting With Disaster (1996),"Comedy, Drama, Sports",TV,25,8.49,24788
2246,"NeverEnding Story III, The (1994)","Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
25835,Jupiter's Wife (1994),"Comedy, Drama",TV,24,8.49,146895
2921,Pie in the Sky (1996),"Drama, Sports",TV,47,8.48,6259
136,Jade (1995),"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
30503,Down Periscope (1996),"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
12531,Man of the Year (1995),"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
523,Up Close and Personal (1996),"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
467,"Birdcage, The (1996)","Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
572,"Brothers McMullen, The (1995)","Adventure, Fantasy",Movie,1,8.47,143273
19815,Bad Boys (1995),"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
2559,"Amazing Panda Adventure, The (1995)","Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
392,"Basketball Diaries, The (1995)","Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
486,"Awfully Big Adventure, An (1995)","Action, Adventure, Slice of Life",TV,13,8.46,102822
11771,Amateur (1994),"Comedy, School, Shounen, Sports",TV,25,8.46,338315
1698,Apollo 13 (1995),"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025
5341,Rob Roy (1995),"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
25781,"Addiction, The (1995)","Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543
10863,Batman Forever (1995),"Sci-Fi, Thriller",Special,1,8.46,159548
28701,Beauty of the Day (Belle de jour) (1967),"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
5420,Beyond Rangoon (1995),"Drama, Fantasy",TV,50,8.45,36751
9260,Blue in the Face (1995),"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
32,Canadian Bacon (1995),"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
4224,Casper (1995),"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
